phrase/word,meaning,english sentence,chinese sentence,
-coded,(後綴) 帶有...特質的；很...風格的,That outfit is so summer**-coded**.,那套服裝充滿了夏天的氣息。,
-core,(後綴) ...風格；...系,Cottagecore fashion is very popular right now.,田園風格的時尚現在非常流行。,
-ish,(後綴) 大約；...左右；有點...,I'll be there at 7**-ish**.,我大約7點左右到。,
(It's The) Story Of My Life,我人生的寫照 (通常指倒霉事),Missed the bus again? It's the story of my life.,又錯過公車了？這真是我人生的寫照。,
A Blow,打擊；挫折,Losing the contract was a huge blow to the company.,失去合約對公司來說是一個巨大的打擊。,
A Bright Spark,聰明人 (有時諷刺自作聰明者),Some bright spark left the window open in the rain.,哪個「聰明人」下雨天把窗戶開著。,
A Busman's Holiday,照常工作的假期 (做與工作類似的事),A chef cooking at home on his day off is taking a busman's holiday.,廚師在休假日時在家做飯，就像是在過照常工作的假期。,
A Different Kettle Of Fish,完全是另一回事,"I can drive a car, but driving a truck is a different kettle of fish.",我會開車，但開卡車完全是另一回事。,
A Doddle,輕而易舉的事；小菜一碟,Fixing this computer was a doddle.,修理這台電腦簡直是小菜一碟。,
A Flying Start,好的開始；開門紅,The team got off to a flying start this season.,這支球隊本賽季取得了一個好的開始。,
A Fresh Start,嶄新的開始,Moving to a new city gave him a fresh start.,搬到新城市給了他一個嶄新的開始。,
A Game,最佳狀態；拿手絕活,You need to bring your A game to the interview.,你需要以最佳狀態去參加面試。,
A Knees-up,熱鬧的派對/聚會,We're having a bit of a knees-up for his birthday.,我們要為他的生日辦個熱鬧的派對。,
A Legend In One's Lifetime,在世傳奇；當代傳奇人物,The singer became a legend in her own lifetime.,這位歌手在她有生之年就已成為傳奇。,
A Little Something,一點小心意,I bought you a little something to say thank you.,我買了一點小心意來表達感謝。,
A Memory Like A Sieve,記性很差；健忘,I have a memory like a sieve; I forgot her name again.,我記性很差，又忘記她的名字了。,
A Million To One,萬中選一；機率極低,The chances of winning the lottery are a million to one.,中樂透的機率是微乎其微。,
A Necessary Evil,必要之惡；無奈但必須的事,Paying taxes is a necessary evil.,繳稅是必要之惡。,
A Shock To The System,巨大的衝擊；讓人難以適應的改變,Returning to work after a long holiday was a shock to the system.,長假後重返工作崗位真是一大衝擊。,
A Slippery Slope,滑坡效應；災難性的崩壞開端,Skipping classes is a slippery slope to failing the course.,翹課是導致課程不及格的惡性循環開端。,
A Sting In The Tail,意想不到的結局 (通常是不好的),The story had a happy beginning but a sting in the tail.,這個故事開頭很美好，結尾卻令人意外地悲傷。,
A Taste Of Your Own Medicine,以其人之道還治其人之身,"He's always late, so we left without him to give him a taste of his own medicine.",他總是遲到，所以我們先走，讓他嚐嚐被人等的滋味。,
A Thing,流行；一回事 (Is that a thing?),Is wearing socks with sandals really a thing now?,穿襪子配涼鞋現在真的很流行嗎？,
